Code,Compound,CAS,SMILES,Obs,Pred,Dev.,log_P,eLumo,eHomo,IL,abs dev
1,2-bromo-7-aminofluorene,,NC1=CC2=C(C=C1)C3=C(C2)C=C(Br)C=C3,2.62,2.62,0,3.92,-0.405,-8.236,1,0
2,2-methoxy-5-methylaniline(p-cresidine),,COC1=CC=C(C)C=C1N,-2.05,-2.06,0.01,1.74,0.419,-8.449,0,0.01
3,5-aminoquinoline,611-34-7,NC1=CC=CC2=C1C=CC=N2,-2,-2.02,0.02,1.16,-0.395,-8.395,0,0.02
4,4-ethoxyaniline,156-43-4,CCOC1=CC=C(N)C=C1,-2.3,-2.32,0.02,1.24,0.513,-8.182,0,0.02
5,1-aminonaphthalene,,NC1=C2C=CC=CC2=CC=C1,-0.6,-0.63,0.03,2.25,-0.195,-8.108,0,0.03
6,4-aminofluorene,,NC1=C2C(CC3=CC=CC=C23)=CC=C1,1.13,1.1,0.03,2.7,-0.157,-8.256,1,0.03
7,2-aminoanthracene,,NC1=CC=C2C=C3C=CC=CC3=CC2=C1,2.62,2.65,-0.03,3.26,-0.771,-7.869,1,0.03
8,7-aminofluoranthene,,NC1=CC=C2C=C3C=CC=CC3=CC2=C1,2.88,2.83,0.05,3.72,-0.895,-8.186,1,0.05
9,8-aminoquinoline,,NC1=CC=CC2=C1N=CC=C2,-1.14,-1.08,-0.06,1.79,-0.294,-8.134,0,0.06
10,"1,7-diaminophenazine",,NC1=CC2=NC3=CC=CC(N)=C3N=C2C=C1,0.75,0.82,-0.07,1.64,-1.045,-8.089,1,0.07
11,2-aminonaphthalene,,NC1=CC=C2C=CC=CC2=C1,-0.67,-0.74,0.07,2.28,-0.198,-8.227,0,0.07
12,4-aminopyrene,,NC1=CC2=CC=CC3=CC=C4C=CC=C1C4=C23,3.16,3.25,-0.09,3.72,-0.85,-7.837,1,0.09
13,3-amino-3’-nitrobiphenyl,,NC1=CC(=CC=C1)C2=CC=CC(=C2)[N+]([O-])=O,-0.55,-0.44,-0.11,2.68,-1.034,-8.801,0,0.11
14,"2,4,5-trimethylaniline",,CC1=CC(C)=C(N)C=C1C,-1.32,-1.19,-0.13,2.41,0.581,-8.244,0,0.13
15,3-aminofluorene,6344-66-7,NC1=CC2=C(CC3=C2C=CC=C3)C=C1,0.89,1.02,-0.13,2.7,-0.182,-8.333,1,0.13
16,"3,3’-dichlorobenzidine",,NC1=C(Cl)C=C(C=C1)C2=CC(Cl)=C(N)C=C2,0.81,0.67,0.14,3.51,-0.142,-8.125,0,0.14
17,"2,4-dimethyllaniline(2,4-xylidine)",,CC1=CC(C)=C(N)C=C1,-2.22,-2.05,-0.17,1.68,0.605,-8.288,0,0.17
18,"2,7-diaminofluorene",,NC1=CC=C2C(CC3=CC(N)=CC=C23)=C1,0.48,0.31,0.17,1.47,0,-7.753,1,0.17
19,3-aminofluoranthene,,NC1=CC=C2C3=CC=CC=C3C4=CC=CC1=C24,3.31,3.49,-0.18,4.2,-0.818,-8.033,1,0.18
20,2-aminofluorene,,NC1=CC2=C(C=C1)C3=C(C2)C=CC=C3,1.93,1.73,0.2,3.14,-0.108,-8.106,1,0.2
21,2-amino-4’-nitrobiphenyl,,NC1=CC=CC=C1C2=CC=C(C=C2)[N+]([O-])=O,-0.62,-0.42,-0.2,2.68,-1.148,-8.852,0,0.2
22,4-aminobiphenyl,,NC1=CC=C(C=C1)C2=CC=CC=C2,-0.14,-0.34,0.2,2.86,0.048,-8.263,0,0.2
